"benchmark","group","threads","time","timeout"
"(hd-d0 1)","hd-d0","1",8.955,False
"(hd-d0 2)","hd-d0","1",8.942,False
"(hd-d0 3)","hd-d0","1",6.554,False
"(hd-d0 4)","hd-d0","1",8.028,False
"(hd-d0 5)","hd-d0","1",8.096,False
"(hd-d0 6)","hd-d0","1",9.651,False
"(hd-d0 7)","hd-d0","1",12.212,False
"(hd-d0 8)","hd-d0","1",12.293,False
"(hd-d0 9)","hd-d0","1",9.816,False
"(hd-d0 10)","hd-d0","1",10.270,False
"(hd-d0 11)","hd-d0","1",9.510,False
"(hd-d0 12)","hd-d0","1",9.306,False
"(hd-d0 13)","hd-d0","1",18.694,False
"(hd-d0 14)","hd-d0","1",16.547,False
"(hd-d0 15)","hd-d0","1",15.391,False
"(hd-d0 16)","hd-d0","1",16.869,False
"(hd-d0 17)","hd-d0","1",11.598,False
"(hd-d0 18)","hd-d0","1",17.827,False
"(hd-d0 19)","hd-d0","1",25.777,False
"(hd-d0 20)","hd-d0","1",1297.069,False
"(hd-d5 1)","hd-d5","1",11.453,False
"(hd-d5 2)","hd-d5","1",12.359,False
"(hd-d5 3)","hd-d5","1",6.461,False
"(hd-d5 4)","hd-d5","1",9.965,False
"(hd-d5 5)","hd-d5","1",10.014,False
"(hd-d5 6)","hd-d5","1",11.268,False
"(hd-d5 7)","hd-d5","1",10.061,False
"(hd-d5 8)","hd-d5","1",12.118,False
"(hd-d5 9)","hd-d5","1",10.626,False
"(hd-d5 10)","hd-d5","1",16.507,False
"(hd-d5 11)","hd-d5","1",17.648,False
"(hd-d5 12)","hd-d5","1",15.864,False
"(hd-d5 13)","hd-d5","1",17.870,False
"(hd-d5 14)","hd-d5","1",1250.055,False
"(hd-d5 15)","hd-d5","1",856.564,False
"(hd-d5 16)","hd-d5","1",44.299,False
"(hd-d5 17)","hd-d5","1",24.145,False
"(hd-d5 18)","hd-d5","1",11.586,False
"(hd-d5 19)","hd-d5","1",3600.000,True
"(hd-d5 20)","hd-d5","1",3600.000,True
"(array-search 2)","arraysearch","1",9.358,False
